구분,개인 목표(예시),개인 평가 점수,개인 평가 코멘트(예시),달성 방법(예시),배점(10점 만점),평가 항목,항목 설명
,"- 신규 런칭 프로모션 긍정적인 반응 ",6,"· 저효율 매체를 조기에 배제하여 예산 누수를 방지함.
· 다만 신규 유입 단가가 상승 추세라, 2분기에는 오가닉(Viral) 콘텐츠 비중을 늘릴 계획임.",- 인스타그램/유튜브 체험단 50명 운영,10,"프로모션 기획 및 
마케팅 효율","시즌/이슈별 프로모션을 기획·운영하고, 마케팅 예산이 
낭비되지 않도록 집행 효율을 최적화한다."
,"- 경쟁사 모니터링 보고서 월 1회 공유
- 숏폼 트렌드 반영한 기획 1건",6,"- 정기적인 경쟁사 분석이 프로모션 가격 전략 수립에 기여함.
- 영상 조회수가 목표치를 상회하여 브랜드 인지도 제고에 
효과적이었음.","- 매주 월요일 경쟁사 신상/이벤트 조사
- 틱톡/릴스 인기 소재 벤치마킹하여 적용",10,"트렌드 분석 및 
경쟁사 대응","경쟁상 동향 및 시장 트렌드를 지속적으로 조사하여, 기획 및 
마케팅 전략에 즉각적으로 반영한다."
업적 평가(70점),"- 신제품 A 원가율 35% 이내 확정
- 기존 제품 부자재 원가 5% 절감",6,"- 경쟁 입찰 방식을 도입하여 목표 원가율을 달성함.
- 초도 물량 한계로 추가 단가 인하를 못한 점은 아쉬우며, 2차 발주 시 재협상 예정임.","- 용기 업체 3개사 비딩을 통해 최저 단가 업체 선정 및 협상 
- 단상자 후가동 제거를 통한 개당 제작 비용 50원 이하",10,"상품 이익률 및 
원가 관리","기획 단계에서 목표 원가율을 준수하고, 불필요한 비용을 절감하여 목표했던 상품 마진을 확보한다."
합계(100점),,60점,,,,,
,"- 프로젝트 일정 지연 0일
- 디자인/물류 협업 미팅 주 1회",6,"- 일정 관리로 명절 이슈에도 납기를 준수함.
- 디자인 변경 건에 대한 공유가 다소 늦었던 점은 차후 
프로세스를 보완하겠음.","- 전제 프로젝트 일정 공유
- 이슈 발생 시 즉시 공유 및 대안 협의",10,"일정 준수 및 
유관 부서 리딩","프로젝트별 일정 계획을 명확히 설정하고, 디자인/생산/물류 등 유관부서와 주도적으로 협업하여 지연 없이 일정을 완수한다."
역량 평가(30점),"- 지각/조퇴 0회 및 근무시간 준수
- 지출결의서, 품의서 등 기한내 100%  상신",6,"- 1분기 동안 근태 및 규정 위반 사항 없음.
- 프로세스를 준수하여 재무팀의 업무 효율에 기여함.","- 출근 시간 10분전 도착 습관화
- 매주 금요일 지출결의서, 품의서 정리 및 상신",10,"근태 및 
사내 규정 준수","출퇴근 시간 및 회의 시간을 엄수하며, 보안·비용 등 회사의 제반 규정을 성실하게 준수한다."
,"- 팀 공통 업무 자원하기
- 사내 워크샵 및 교육 100% 참여",6,"- 공통 업무(자료 취합)를 자원하여 팀 운영 효율을 높임.
- 팀 내 분위기 메이커 역할을 수행하며 조직 활성화에 기여함.","- 팀 내 공유 폴더 정리 및 최신화 담당
- 타 팀원과 점심 식사 등 참여",10,"업무 적극성 및 
조직 적응","주어진 업무에 적극적으로 임하며, 팀 내 행사나 조직 문화 활동에 긍정적인 태도로 참여한다."
,"- 품절률 10% 이하 (주력 상품 상시 보유)
- 재고 회전율 4주 이내 관리",6,"- 데이터 기반의 발주로 결품 없이 안정적인 운영을 지속함.
- 장기 재고 행사를 적시에 진행하여 물류 보관비를 
전분기 대비 10% 절감함.","- 주 1회 판매 추이 분석 및 발주량 수정
- 6개월 이상 장기 재고 할인 행사 기획",10,"수요 예측 및 
재고 관리","판매 추세와 시장 흐름을 보고 앞으로 필요한 물량을 예상하며, 그 결과를 상품 기획과 재고 준비에 알맞게 활용한다"
,"- 1분기 신제품 3종 출시
- 기획안 품의 통과 80% 이상",6,"- 고객 데이터에 기반한 기획으로 수정 없이 품의가 통과됨.
- ‘수분 라인' 확장이 실제 2030 타겟의 니즈와 부합하여
초기 반응이 긍정적임.","- 1월 내 시장 조사 및 컨셉 확정 완료
- 타켓 고객층 니즈 분석 보고서 작성",10,"신제품 기획 및 
라인업 전략","시장 니즈와 브랜드 전략을 기반으로 신제품 기획 방향을 도출하고, 실행 가능한 상품 기획안을 체계적으로 수립한다."
,"- 상세페이지 구매 전환율 5% 달성
- 패키지 감리 오타/불량 0건",6,"- 상세페이지 개선 작업 후 고객 체류 시간이 유의미하게 
상승함.
- 현장 감리를 통해 색상 오차를 사전에 발견하고 수정 조치함.","- 브랜드 무드에 맞는 연출컷 재활영 진행
- 인쇄 전 3차 크로스 체크 및 샘플 검수",10,"브랜드 톤앤매너 및 
품질 관리","브랜드 가이드라인을 준수하여 상세페이지, 패키지, 이미지 등 고객 접점의 결과물 퀄리티를 유지한다."
,"- 업무 이슈 발생 시 1시간 내 보고
- 회의록 작성 및 공유 전일 완료",6,"- 이슈 발생 시 선보고를 통해 의사결정 지연을 방지함.
- 타 부서 협업 요청 시 명확한 가이드라인을 제공하여 소통 
오류를 줄임.","- 중간 보고 생활화
- 유관부서 요청 시 친절하고 명확하게 응대",10,"커뮤니케이션 및 
보고 태도","업무 진행 상황을 적시에 정확하게 보고(공유)하며, 동료 및 
유관부서와 예의를 갖추고 원활하게 소통한다."